Location|Latitude|Longitude
Cheb|50.063472|12.3612801
Karlovy Vary|50.2194908|12.8644122
Přimda|49.6695302|12.6798863
Kopisty|50.5434913|13.6292403
Tušimice|50.3848661|13.3284384
Plzeň-Mikulka|49.7660303|13.3839949
Churáňov|49.0700334|13.6170139
Milešovka|50.5549459|13.9310911
Kocelovice|49.4682452|13.8310535
Ústí nad Labem|50.6537898|14.0413052
Doksany|50.4592294|14.168631
Praha-Ruzyně|50.0981625|14.2751918
Praha-Karlov|50.0693582|14.4302015
Praha-Libuš|49.9985914|14.4649004
Temelín|49.1818447|14.3761249
České Budějovice|48.9793498|14.491054
Praha-Kbely|50.1325301|14.5449657
Liberec|50.7687677|15.0499264
Jičín|50.4290804|15.3781731
Čáslav|49.9177317|15.3944548
Košetice|49.5609343|15.1148372
Kostelní Myslová|49.1497|15.4210905
Pec pod Sněžkou|50.6915837|15.7383724
Pardubice|50.037577|15.758383
Přibyslav|49.570139|15.7387398
Polom|50.36|16.32
Ústí nad Orlicí|49.9686581|16.4194664
Svratouch|49.7277463|16.0522686
Náměšť nad Oslavou|49.2092955|16.1712145
Dukovany|49.090491|16.1702389
Kuchařovice|48.8791187|16.0733581
Luká|49.6916333|15.095173
Brno-Tuřany|49.1493706|16.6707954
Šerák|50.1867309|17.1065725
Prostějov|49.4666713|17.1113361
Červená u Libavé|49.7769702|17.5420075
Holešov|49.3385979|17.5765499
Ostrava-Mošnov|49.687385|18.1222654
Lysá hora|49.5460132|18.4473267
Maruška|49.3659125|17.8282733
