Stanice|Latitude|Longitude|AccuWeather locationKey
Cheb|50.063472|12.3612801|1378011
Karlovy Vary|50.2194908|12.8644122|3396660
Přimda|49.6695302|12.6798863|125477
Kopisty|50.5434913|13.6292403|3395436
Tušimice|50.3848661|13.3284384|3395939
Plzeň-Mikulka|49.7660303|13.3839949|3399010
Churáňov|49.0700334|13.6170139|3402278
Milešovka|50.5549459|13.9310911|1373979
Kocelovice|49.4682452|13.8310535|1376073
Ústí nad Labem|50.6537898|14.0413052|3394978
Doksany|50.4592294|14.168631|1378764
Praha-Ruzyně|50.0981625|14.2751918|125550
Praha-Karlov|50.0693582|14.4302015|125542
Praha-Libuš|49.9985914|14.4649004|1372216
Temelín|49.1818447|14.3761249|1375436
České Budějovice|48.9793498|14.491054|3402546
Praha-Kbely|50.1325301|14.5449657|125584
Liberec|50.7687677|15.0499264|3394540
Jičín|50.4290804|15.3781731|3395807
Čáslav|49.9177317|15.3944548|3397997
Košetice|49.5609343|15.1148372|126667
Kostelní Myslová|49.1497|15.4210905|1375829
Pec pod Sněžkou|50.6915837|15.7383724|1372350
Pardubice|50.037577|15.758383|3397374
Přibyslav|49.570139|15.7387398|3400131
Polom|50.36|16.32|3396025
Ústí nad Orlicí|49.9686581|16.4194664|3397697
Svratouch|49.7277463|16.0522686|1369272
Náměšť nad Oslavou|49.2092955|16.1712145|3401832
Dukovany|49.090491|16.1702389|126661
Kuchařovice|48.8791187|16.0733581|1375391
Luká|49.6916333|15.095173|1376996
Brno-Tuřany|49.1493706|16.6707954|1368842
Šerák|50.1867309|17.1065725|1372554
Prostějov|49.4666713|17.1113361|3400655
Červená u Libavé|49.7769702|17.5420075|3398735
Holešov|49.3385979|17.5765499|3401229
Ostrava-Mošnov|49.687385|18.1222654|3399477
Lysá hora|49.5460132|18.4473267|3400396
Maruška|49.3659125|17.8282733|3401237
