Location|Enabled|ScrapingTimes|locationKey
Cheb|TRUE|-|1378011
Karlovy Vary|TRUE|00:30,12:30|3396660
Přimda|TRUE|-|125477
Kopisty|TRUE|-|3395436
Tušimice|TRUE|-|3395939
Plzeň-Mikulka|TRUE|-|3399010
Churáňov|TRUE|-|3402278
Milešovka|TRUE|00:30,12:30|1373979
Kocelovice|TRUE|-|1376073
Ústí nad Labem|TRUE|-|3394978
Doksany|TRUE|-|1378764
Praha-Ruzyně|TRUE|-|125550
Praha-Karlov|TRUE|-|125542
Praha-Libuš|TRUE|-|1372216
Temelín|TRUE|-|1375436
České Budějovice|TRUE|-|3402546
Praha-Kbely|TRUE|00:30,12:30|125584
Liberec|TRUE|-|3394540
Jičín|TRUE|-|3395807
Čáslav|TRUE|00:30,12:30|3397997
Košetice|TRUE|-|126667
Kostelní Myslová|TRUE|-|1375829
Pec pod Sněžkou|TRUE|-|1372350
Pardubice|TRUE|00:30,12:30|3397374
Přibyslav|TRUE|-|3400131
Polom|TRUE|00:30,12:30|3396025
Ústí nad Orlicí|TRUE|-|3397697
Svratouch|TRUE|-|1369272
Náměšť nad Oslavou|TRUE|00:30,12:30|3401832
Dukovany|TRUE|-|126661
Kuchařovice|TRUE|-|1375391
Luká|TRUE|-|1374531
Brno-Tuřany|TRUE|-|1368842
Šerák|TRUE|-|1372554
Prostějov|TRUE|00:30,12:30|3400655
Červená u Libavé|TRUE|-|3398735
Holešov|TRUE|-|3401229
Ostrava-Mošnov|TRUE|00:30,12:30|3399477
Lysá hora|TRUE|-|3400396
Maruška|TRUE|-|3401237
