Location|Latitude|Longitude
Cheb|50.0683|12.3913
Karlovy Vary|50.2016|12.9139
Přimda|49.6694|12.6779
Kopisty|50.544|13.6227
Tušimice|50.3765|13.3279
Plzeň-Mikulka|49.7645|13.3787
Churáňov|49.0683|13.615
Milešovka|50.5549|13.9306
Kocelovice|49.4672|13.8385
Ústí nad Labem|50.6833|14.041
Doksany|50.4587|14.1699
Praha-Ruzyně|50.1003|14.2555
Praha-Karlov|50.0691|14.4276
Praha-Libuš|50.0077|14.4467
Temelín|49.1975|14.3421
České Budějovice|48.9519|14.4697
Praha-Kbely|50.1232|14.538
Liberec|50.7697|15.0238
Jičín|50.4393|15.3525
Čáslav|49.9407|15.3863
Košetice|49.5735|15.0803
Kostelní Myslová|49.159|15.4391
Pec pod Sněžkou|50.6918|15.7287
Pardubice|50.0158|15.7402
Přibyslav|49.5825|15.7623
Polom|50.3503|16.3221
Ústí nad Orlicí|49.9801|16.4221
Svratouch|49.735|16.0342
Náměšť nad Oslavou|49.1708|16.1205
Dukovany|49.0954|16.1344
Kuchařovice|48.8809|16.0852
Luká|49.6522|16.9533
Brno-Tuřany|49.153|16.6888
Šerák|50.1874|17.1082
Prostějov|49.4525|17.1347
Červená u Libavé|49.777|17.5418
Holešov|49.3205|17.5699
Ostrava-Mošnov|49.6918|18.1126
Lysá hora|49.5459|18.4473
Maruška|49.365|17.8284
